Số điện thoại,Trace ID,Request,Kênh đăng nhập,Thiết bị,Os,OsVersion,AppVersion,IMei,Trạng thái,Ngày yêu cầu,Ngày phản hồi,IPRequest,ResCode,Description,MsgCode,DescDetail
xxxxxxx524,155708626851838,33 - Lấy giá trị configs,"PREMB_10.53.93.134:9080, MB_10.53.93.68:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,12/11/2023 06:55:02 PM,12/11/2023 06:55:02 PM,104.28.249.54:35002|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,905771162109089,31 - Lấy danh sách Banner,"PREMB_10.53.93.60:9080, MB_10.53.93.66:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,12/11/2023 06:55:02 PM,12/11/2023 06:55:02 PM,104.28.249.54:31236|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,406318104058493,31 - Lấy danh sách Banner,"PREMB_10.53.93.134:9080, MB_10.53.93.66:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,09/11/2023 03:20:40 PM,09/11/2023 03:20:40 PM,104.28.217.54:43860|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,217054387407668,33 - Lấy giá trị configs,"PREMB_10.53.93.134:9080, MB_10.53.93.68:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,09/11/2023 03:20:39 PM,09/11/2023 03:20:39 PM,104.28.217.54:15549|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,469369111011085,1 - Đăng nhập,"PREMB_10.53.93.59:9080, MB_10.53.93.68:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,False,09/11/2023 03:20:38 PM,09/11/2023 03:20:38 PM,104.28.217.54:47018|10.53.54.89_Prod,55,Thông tin đăng nhập không chính xác. Quý khách lưu ý: Dịch vụ SmartBanking sẽ bị khóa nếu Quý khách nhập sai mật khẩu 5 lần trở lên.,REGISTOR-55,
xxxxxxx524,916932285500305,10 - Lấy danh sách tài khoản,"PREMB_10.53.93.65:9080, MB_10.53.93.73:8088",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:40:10 PM,08/11/2023 09:40:10 PM,104.28.237.72:24235|10.53.54.87_Prod,00,Thành công,INFO-00,
xxxxxxx524,255842659582565,103 - Xác thực chuyển khoản 247 tới số tài khoản,"PREMB_10.53.93.116:9080, MB_10.53.93.120:8085",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:55 PM,08/11/2023 09:39:55 PM,104.28.237.72:51562|10.53.54.88_Prod,00,Success,INFO-00,
xxxxxxx524,551348296038155,102 - Khởi tạo chuyển khoản 247 tới số tài khoản,"PREMB_10.53.93.114:9080, MB_10.53.93.120:8085",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:50 PM,08/11/2023 09:39:50 PM,104.28.237.72:35080|10.53.54.80_Prod,00,Thành công,INFO-00,
xxxxxxx524,894674815209175,225 - Lấy danh sách mẫu chuyển tiền,"PREMB_10.53.93.55:9080, MB_10.53.93.83:8082",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:44 PM,08/11/2023 09:39:44 PM,104.28.237.72:7271|10.53.54.91_Prod,00,Thành công,00,
xxxxxxx524,114884314958372,33 - Lấy giá trị configs,"PREMB_10.53.93.134:9080, MB_10.53.93.66:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:44 PM,08/11/2023 09:39:44 PM,104.28.237.72:38472|10.53.54.83_Prod,00,Thành công,INFO-00,
xxxxxxx524,738089906018668,10 - Lấy danh sách tài khoản,"PREMB_10.53.93.64:9080, MB_10.53.93.73:8088",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:39 PM,08/11/2023 09:39:39 PM,104.28.237.72:16508|10.53.54.72_Prod,00,Thành công,INFO-00,
xxxxxxx524,744604686995406,220 - Lấy danh sách danh bạ thụ hưởng,"PREMB_10.53.93.127:9080, MB_10.53.93.83:8082",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:39 PM,08/11/2023 09:39:39 PM,104.28.237.72:7664|10.53.54.81_Prod,00,Thành công,00,
xxxxxxx524,513084046784833,10 - Lấy danh sách tài khoản,"PREMB_10.53.93.136:9080, MB_10.53.93.70:8088",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:38 PM,08/11/2023 09:39:38 PM,104.28.237.72:49757|10.53.54.87_Prod,00,Thành công,INFO-00,
xxxxxxx524,683613805014272,51 - Cập nhật cài đặt đăng nhập thiết bị khác,"PREMB_10.53.93.60:9080, MB_10.53.93.67:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:35 PM,08/11/2023 09:39:35 PM,104.28.237.72:28972|10.53.54.89_Prod,00,Thành công,INFO-00,
