MID,MDESC,Phân loại dịch vụ bậc 1,Phân loại dịch vụ bậc 2
1,Đăng nhập,Xác thực và Bảo mật,Đăng nhập
2,Kích hoạt,Xác thực và Bảo mật,Kích hoạt
3,Kích hoạt lại trên thiết bị khác,Xác thực và Bảo mật,Dịch vụ đổi thiết bị
4,Gửi OTP chuyển đổi IB,Xác thực và Bảo mật,Dịch vụ đổi thiết bị
5,Xác thực chuyển đổi IB,Xác thực và Bảo mật,Dịch vụ đổi thiết bị
6,Đổi mật khẩu khi hết hạn,Xác thực và Bảo mật,Dịch vụ bảo mật
7,Xác thực khi đăng nhập sai mật khẩu nhiều lần,Xác thực và Bảo mật,Dịch vụ bảo mật
8,Gửi lại OTP,Xác thực và Bảo mật,Dịch vụ OTP
9,Logout,Xác thực và Bảo mật,Đăng xuất
10,Lấy danh sách tài khoản,Sử dụng thông thường,Lấy thông tin giao dịch
11,Lấy chi tiết tài khoản,Sử dụng thông thường,Lấy thông tin cá nhân
12,Lấy lịch sử tài khoản,Sử dụng thông thường,Lấy thông tin cá nhân
13,Cài đặt tài khoản mặc định,Sử dụng thông thường,Dịch vụ tùy biến ứng dụng
14,"Cài đặt banner, chức năng yêu thích",Sử dụng thông thường,Dịch vụ tùy biến ứng dụng
15,get token kênh ngoai,Xác thực và Bảo mật,Lấy thông tin token bên ngoài
18,Xác thực 3ds-biometric,Xác thực và Bảo mật,Dịch vụ bảo mật
19,Khởi tạo cài đặt vân tay,Xác thực và Bảo mật,Dịch vụ bảo mật
20,Cài đặt vân tay,Xác thực và Bảo mật,Dịch vụ bảo mật
21,Khởi tạo quên mật khẩu,Xác thực và Bảo mật,Dịch vụ lấy lại mật khẩu quên
22,Xác nhận quên mật khẩu,Xác thực và Bảo mật,Dịch vụ lấy lại mật khẩu quên
23,Khởi tạo đăng ký/hủy Soft OTP,Xác thực và Bảo mật,Dịch vụ Soft OTP
24,Xác nhận đăng ký Soft OTP,Xác thực và Bảo mật,Dịch vụ Soft OTP
25,Tự động đăng ký OTT,Xác thực và Bảo mật,Dịch vụ OTT
26,Khởi tạo đăng ký/hủy OTT,Xác thực và Bảo mật,Dịch vụ OTT
27,Xác nhận đăng ký/hủy OTT,Xác thực và Bảo mật,Dịch vụ OTT
28,Cài đặt xác thực đăng nhập trên trình duyệt Web,Xác thực và Bảo mật,Dịch vụ đăng nhập trên trình duyệt Web
29,Xác nhận đăng nhập cho Web từ MB App,Xác thực và Bảo mật,Dịch vụ đăng nhập trên trình duyệt Web
30,Trả kết quả Cross Login cho IB,Xác thực và Bảo mật,Dịch vụ bảo mật
